"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"101",12045,1580.48376464844,9,16.9166660308838,11.875,1580.48376464844,1580.48376464844,0,47.01,1,2.69457541435258e-05,16.9703918457031
"102",12046,1817.54941598993,16.4736842105263,21.4758767579731,10.8504383940446,1877.69567871094,1617.07800292969,260.61767578125,47.1133333333333,22,2.62487795528917e-05,16.8777404785156
"103",12047,1865.65075683594,44,27.25,10.4166669845581,1865.65075683594,1865.65075683594,0,47.03,1,2.54887600021902e-05,16.5149169921875
"104",12211,1648.34160246672,8.61728395061728,16.8251023233673,11.5715017907413,1657.01098632812,1595.72937011719,61.2816162109375,46.7308860759494,47,2.71348890237277e-05,17.780908203125
"105",12212,1848.43296946437,7.34405144694534,19.5223740642094,10.7893355314371,1949.54089355469,1645.36145019531,304.179443359375,46.613338762215,271,2.68387698314527e-05,17.6824858326866
"106",12213,1964.58226084339,11.4870466321244,20.1031950916033,9.89663217969509,2071.88354492188,1889.13342285156,182.750122070312,46.3930601092896,94,2.59308017120929e-05,17.3807006835938
"107",12217,2591.42553710938,82,41.5,5.41666698455811,2591.42553710938,2591.42553710938,0,45.88,1,2.47576554102125e-05,17.4548889160156
"108",12379,2007.11929199219,18.76,19.75,9.38466701507568,2010.68859863281,1921.45593261719,89.232666015625,46.1828,27,2.59789652045583e-05,17.396708984375
"109",12380,1981.56819370815,14.1428571428571,20.8928572790963,9.90357140132359,2067.86962890625,1902.49743652344,165.372192382812,45.9385714285714,9,2.6151823476539e-05,17.813607788086
"110",12381,2435.04313151042,57.6666666666667,41.4444446563721,7.17222245534261,2799.99438476562,2138.89868164062,661.095703125,45.83,3,2.55652503255988e-05,17.8507019042969
"111",12543,2205.3466796875,43.5,31.2638883590698,8.32777770360311,2217.1923828125,2202.0673828125,15.125,45.912,3,2.87059501715703e-05,18.7836547851563
"112",12545,2079.50170898438,13,21.8333339691162,9.66666698455811,2079.50170898438,2079.50170898438,0,NA,1,NA,NA
"113",12547,1766.04113769531,13,23.25,12.2749996185303,1766.04113769531,1766.04113769531,0,NA,5,NA,NA
"114",12769,35.6740989685059,88,100.833335876465,16.6749992370605,35.6740989685059,35.6740989685059,0,36.6,2,5.04781855852343e-05,24.5706115722656
"115",12915,79.538932800293,93,119.25,16.4333324432373,79.538932800293,79.538932800293,0,39.25,1,5.52544224774465e-05,15.1846252441406
"116",12933,26.2165391710069,92.6666666666667,97.6018541124132,17.1379627651638,32.5777130126953,25.4213924407959,7.15632057189941,36.5711111111111,2,4.74404187116306e-05,24.5212036132813
"117",13534,1020.419921875,33,34.75,19.4333324432373,1020.419921875,1020.419921875,0,43.22,1,3.00109732052078e-05,21.0041137695313
"118",13706,1509.7694905599,30,26.0833339691162,15.3666667938232,1534.49914550781,1497.40466308594,37.094482421875,42.51,2,3.04271252389299e-05,21.2825256347656
"119",14379,1046.89672851562,17,30,18.408332824707,1046.89672851562,1046.89672851562,0,39.18,1,4.25052166974638e-05,23.8101135253906
"120",14381,711.47802734375,28,24.6666660308838,19.908332824707,711.47802734375,711.47802734375,0,NA,1,NA,NA
"121",14545,754.150832502809,12.986301369863,26.3396118373087,20.7947490117321,826.418273925781,711.645446777344,114.772827148438,38.7095555555556,35,4.47398597316351e-05,24.4981628417969
"122",14546,771.859161000193,18.7901234567901,24.2031895319621,20.8133740601716,1486.00805664062,588.352478027344,897.655578613281,38.506015625,40,4.81314127682708e-05,24.76259765625
